purchase_date,Income,log_income
5/29/2024,7.04,0.847572659
5/29/2024,12.845,1.108734109
5/29/2024,12.845,1.108734109
5/29/2024,1.645,0.216165902
5/29/2024,18.445,1.26587866
5/29/2024,9.99,0.999565488
5/28/2024,2.495,0.39707055
5/28/2024,64.875,1.812077371
5/28/2024,4.695,0.671635597
5/28/2024,1.995,0.2999429
5/28/2024,17.425,1.241172787
5/28/2024,1.745,0.241795431
5/28/2024,12,1.079181246
5/28/2024,1.395,0.144574208
5/28/2024,9.7,0.986771734
5/28/2024,4.695,0.671635597
5/28/2024,1.645,0.216165902
5/28/2024,1.745,0.241795431
5/28/2024,1.745,0.241795431
5/28/2024,7.45,0.872156273
5/28/2024,1.745,0.241795431
5/28/2024,7.245,0.86003839
5/28/2024,1.745,0.241795431
5/28/2024,2.475,0.393575203
5/28/2024,1.745,0.241795431
5/28/2024,1.645,0.216165902
5/28/2024,9.78,0.990338855
5/28/2024,1.745,0.241795431
5/28/2024,1.745,0.241795431
5/28/2024,9.7,0.986771734
5/28/2024,1.745,0.241795431
5/28/2024,7.445,0.871864702
5/28/2024,4.18,0.621176282
5/28/2024,11.745,1.069853021
5/28/2024,1.745,0.241795431
5/28/2024,1.655,0.218797998
5/28/2024,1.745,0.241795431
5/28/2024,1.745,0.241795431
5/28/2024,6.98,0.843855423
5/28/2024,7.245,0.86003839
5/28/2024,7.245,0.86003839
5/28/2024,8.15,0.911157609
5/28/2024,1.645,0.216165902
5/28/2024,55.04,1.740678425
5/28/2024,6.98,0.843855423
5/28/2024,4.695,0.671635597
5/28/2024,4.245,0.627877695
5/28/2024,9.7,0.986771734
5/28/2024,4.695,0.671635597
5/28/2024,4.695,0.671635597
5/28/2024,4.475,0.65079304
5/28/2024,4.695,0.671635597
5/28/2024,6.795,0.832189461
5/28/2024,2.315,0.364550995
5/28/2024,2.33,0.367355921
5/28/2024,6.32,0.800717078
5/28/2024,9.7,0.986771734
5/28/2024,1.645,0.216165902
5/28/2024,4.475,0.65079304
5/28/2024,1.655,0.218797998
5/28/2024,1.745,0.241795431
5/28/2024,9.945,0.997604787
5/28/2024,9.7,0.986771734
5/28/2024,4.675,0.669781615
5/28/2024,14.98,1.175511813
5/28/2024,1.745,0.241795431
5/28/2024,1.645,0.216165902
5/28/2024,1.745,0.241795431
5/28/2024,12,1.079181246
5/28/2024,9.62,0.983175072
5/28/2024,4.425,0.645913275
5/28/2024,6.45,0.809559715
5/28/2024,9.7,0.986771734
5/28/2024,1.745,0.241795431
5/28/2024,1.745,0.241795431
5/28/2024,12.5,1.096910013
5/28/2024,4.695,0.671635597
5/28/2024,9.99,0.999565488
5/28/2024,1.645,0.216165902
5/28/2024,1.395,0.144574208
5/28/2024,1.745,0.241795431
5/28/2024,12.845,1.108734109
5/28/2024,2.4,0.380211242
5/28/2024,4.45,0.648360011
5/28/2024,7.475,0.873611197
5/28/2024,1.745,0.241795431
5/28/2024,4.45,0.648360011
5/28/2024,3.59,0.555094449
5/28/2024,19.345,1.286568734
5/28/2024,63.625,1.803627795
5/28/2024,10.42,1.017867719
5/28/2024,1.395,0.144574208
5/28/2024,1.745,0.241795431
5/28/2024,9.895,0.995415799
5/28/2024,4.695,0.671635597
5/28/2024,10.245,1.010511963
5/28/2024,9.7,0.986771734
5/28/2024,28.98,1.462098381
5/28/2024,3.995,0.601516784
5/28/2024,2.495,0.39707055
5/28/2024,2.745,0.438542349
5/28/2024,1.395,0.144574208
5/28/2024,7.945,0.900093902
5/28/2024,1.745,0.241795431
5/28/2024,10.98,1.04060234
5/28/2024,1.745,0.241795431
5/28/2024,1.745,0.241795431
5/28/2024,1.645,0.216165902
5/28/2024,1.745,0.241795431
5/28/2024,9.62,0.983175072
5/28/2024,11.925,1.076458388
5/28/2024,11.925,1.076458388
5/28/2024,4.985,0.697665163
5/28/2024,11.735,1.069483094
5/28/2024,1.655,0.218797998
5/28/2024,1.745,0.241795431
5/28/2024,9.62,0.983175072
5/28/2024,7,0.84509804
5/28/2024,10.42,1.017867719
5/28/2024,12,1.079181246
5/28/2024,5.895,0.770483809
5/28/2024,9.6,0.982271233
5/28/2024,10.245,1.010511963
5/28/2024,15.78,1.198106999
5/28/2024,2.745,0.438542349
5/28/2024,9.7,0.986771734
5/28/2024,11.28,1.0523091
5/28/2024,6.45,0.809559715
5/28/2024,6.1,0.785329835
5/28/2024,1.745,0.241795431
5/28/2024,2.675,0.427323786
5/28/2024,11.98,1.078456818
5/28/2024,9.7,0.986771734
5/28/2024,1.395,0.144574208
5/28/2024,6.745,0.828981954
