purchase_date,GELİR,
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,24.245
30/05/2024,#BAŞV!,12.845
30/05/2024,#BAŞV!,8.445
30/05/2024,#BAŞV!,14.995
30/05/2024,#BAŞV!,10.42
30/05/2024,#BAŞV!,3.165
30/05/2024,#BAŞV!,2.995
30/05/2024,#BAŞV!,3.945
30/05/2024,#BAŞV!,1.655
30/05/2024,#BAŞV!,7.245
30/05/2024,#BAŞV!,9.7
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,2.945
30/05/2024,#BAŞV!,2.92
30/05/2024,#BAŞV!,7.245
30/05/2024,#BAŞV!,11.735
30/05/2024,#BAŞV!,1.655
30/05/2024,#BAŞV!,10.42
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,4.675
30/05/2024,#BAŞV!,7.245
30/05/2024,#BAŞV!,11.735
30/05/2024,#BAŞV!,12
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,4.475
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,4.475
30/05/2024,#BAŞV!,4.695
30/05/2024,#BAŞV!,2.675
30/05/2024,#BAŞV!,11.98
30/05/2024,#BAŞV!,4.695
30/05/2024,#BAŞV!,2.715
30/05/2024,#BAŞV!,18.78
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,4.675
30/05/2024,#BAŞV!,1.645
30/05/2024,#BAŞV!,1.465
30/05/2024,#BAŞV!,1.38
30/05/2024,#BAŞV!,5.86
30/05/2024,#BAŞV!,7.245
30/05/2024,#BAŞV!,7.245
30/05/2024,#BAŞV!,4.645
30/05/2024,#BAŞV!,10.205
30/05/2024,#BAŞV!,11.735
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,1.995
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,3.945
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,15.58
30/05/2024,#BAŞV!,1.995
30/05/2024,#BAŞV!,2.675
30/05/2024,#BAŞV!,4.695
30/05/2024,#BAŞV!,12.845
30/05/2024,#BAŞV!,1.495
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,18.475
30/05/2024,#BAŞV!,12.46
30/05/2024,#BAŞV!,1.76
30/05/2024,#BAŞV!,1.995
30/05/2024,#BAŞV!,1.76
30/05/2024,#BAŞV!,1.645
30/05/2024,#BAŞV!,4.985
30/05/2024,#BAŞV!,7.245
30/05/2024,#BAŞV!,4.475
30/05/2024,#BAŞV!,4.695
30/05/2024,#BAŞV!,3.34
30/05/2024,#BAŞV!,4.425
30/05/2024,#BAŞV!,3.645
30/05/2024,#BAŞV!,3.945
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,17.425
30/05/2024,#BAŞV!,10.58
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,15.78
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,11.925
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,6.225
30/05/2024,#BAŞV!,9.7
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,1.645
30/05/2024,#BAŞV!,2.675
30/05/2024,#BAŞV!,7.395
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,2.675
30/05/2024,#BAŞV!,9.7
30/05/2024,#BAŞV!,3.645
30/05/2024,#BAŞV!,3.25
30/05/2024,#BAŞV!,6.935
30/05/2024,#BAŞV!,9.99
30/05/2024,#BAŞV!,4.245
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,3.945
30/05/2024,#BAŞV!,12.445
30/05/2024,#BAŞV!,1.995
30/05/2024,#BAŞV!,1.645
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,10.42
30/05/2024,#BAŞV!,12.46
30/05/2024,#BAŞV!,4.675
30/05/2024,#BAŞV!,12.5
30/05/2024,#BAŞV!,4.28
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,1.495
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,12.845
30/05/2024,#BAŞV!,8.975
30/05/2024,#BAŞV!,4.695
30/05/2024,#BAŞV!,9.7
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,3.175
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,3.945
30/05/2024,#BAŞV!,6.745
30/05/2024,#BAŞV!,4.425
30/05/2024,#BAŞV!,6.745
30/05/2024,#BAŞV!,11.925
30/05/2024,#BAŞV!,26.28
30/05/2024,#BAŞV!,13.185
30/05/2024,#BAŞV!,1.645
30/05/2024,#BAŞV!,1.76
30/05/2024,#BAŞV!,12.445
30/05/2024,#BAŞV!,7.245
30/05/2024,#BAŞV!,1.645
30/05/2024,#BAŞV!,10.42
30/05/2024,#BAŞV!,12.46
30/05/2024,#BAŞV!,8.895
30/05/2024,#BAŞV!,12.845
30/05/2024,#BAŞV!,4.695
30/05/2024,#BAŞV!,18.7
30/05/2024,#BAŞV!,3.25
30/05/2024,#BAŞV!,1.76
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,4.4
30/05/2024,#BAŞV!,3.645
30/05/2024,#BAŞV!,3.25
30/05/2024,#BAŞV!,4.695
30/05/2024,#BAŞV!,6.245
30/05/2024,#BAŞV!,7.945
30/05/2024,#BAŞV!,1.995
30/05/2024,#BAŞV!,1.395
30/05/2024,#BAŞV!,8.975
30/05/2024,#BAŞV!,9.98
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,3.945
30/05/2024,#BAŞV!,3.945
30/05/2024,#BAŞV!,7.95
30/05/2024,#BAŞV!,3.25
30/05/2024,#BAŞV!,2.745
30/05/2024,#BAŞV!,4.695
30/05/2024,#BAŞV!,1.745
30/05/2024,#BAŞV!,6.225
29/05/2024,#BAŞV!,4.245
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,1.395
29/05/2024,#BAŞV!,12.5
29/05/2024,#BAŞV!,4.475
29/05/2024,#BAŞV!,9.99
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,1.645
29/05/2024,#BAŞV!,5.5
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,10.975
29/05/2024,#BAŞV!,1.395
29/05/2024,#BAŞV!,2.475
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,3.975
29/05/2024,#BAŞV!,7.245
29/05/2024,#BAŞV!,8.975
29/05/2024,#BAŞV!,9.99
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,1.395
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,17.425
29/05/2024,#BAŞV!,38.8
29/05/2024,#BAŞV!,1.655
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.395
29/05/2024,#BAŞV!,2.675
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,7.245
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,6.445
29/05/2024,#BAŞV!,2.475
29/05/2024,#BAŞV!,3.945
29/05/2024,#BAŞV!,3.945
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,2.645
29/05/2024,#BAŞV!,3.945
29/05/2024,#BAŞV!,2.01
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,4.475
29/05/2024,#BAŞV!,6.795
29/05/2024,#BAŞV!,19.345
29/05/2024,#BAŞV!,8.445
29/05/2024,#BAŞV!,1.645
29/05/2024,#BAŞV!,17.425
29/05/2024,#BAŞV!,3.25
29/05/2024,#BAŞV!,11.925
29/05/2024,#BAŞV!,1.645
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,1.725
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,11.38
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.645
29/05/2024,#BAŞV!,3.59
29/05/2024,#BAŞV!,2.545
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,3.495
29/05/2024,#BAŞV!,4.475
29/05/2024,#BAŞV!,1.725
29/05/2024,#BAŞV!,12.845
29/05/2024,#BAŞV!,9.72
29/05/2024,#BAŞV!,7.45
29/05/2024,#BAŞV!,1.395
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,260.82
29/05/2024,#BAŞV!,3.85
29/05/2024,#BAŞV!,9.99
29/05/2024,#BAŞV!,3.945
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,2.145
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.74
29/05/2024,#BAŞV!,36.92
29/05/2024,#BAŞV!,2.675
29/05/2024,#BAŞV!,7.645
29/05/2024,#BAŞV!,6.745
29/05/2024,#BAŞV!,12.845
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,9.9
29/05/2024,#BAŞV!,9.945
29/05/2024,#BAŞV!,10.245
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,11.68
29/05/2024,#BAŞV!,7.95
29/05/2024,#BAŞV!,12
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.645
29/05/2024,#BAŞV!,7.645
29/05/2024,#BAŞV!,3.745
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,2.145
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,1.645
29/05/2024,#BAŞV!,9.78
29/05/2024,#BAŞV!,1.655
29/05/2024,#BAŞV!,1.645
29/05/2024,#BAŞV!,3.52
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,3.945
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,4.475
29/05/2024,#BAŞV!,9.895
29/05/2024,#BAŞV!,360.45
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,3.945
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,3.745
29/05/2024,#BAŞV!,6.745
29/05/2024,#BAŞV!,4.475
29/05/2024,#BAŞV!,18.44
29/05/2024,#BAŞV!,7.245
29/05/2024,#BAŞV!,4.45
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,15.58
29/05/2024,#BAŞV!,4.695
29/05/2024,#BAŞV!,9.7
29/05/2024,#BAŞV!,19.9
29/05/2024,#BAŞV!,3.25
29/05/2024,#BAŞV!,8.445
29/05/2024,#BAŞV!,12.845
29/05/2024,#BAŞV!,4.425
29/05/2024,#BAŞV!,12.845
29/05/2024,#BAŞV!,3.495
29/05/2024,#BAŞV!,1.645
29/05/2024,#BAŞV!,11.735
29/05/2024,#BAŞV!,7.245
29/05/2024,#BAŞV!,28.98
29/05/2024,#BAŞV!,10.42
29/05/2024,#BAŞV!,1.745
29/05/2024,#BAŞV!,12
29/05/2024,#BAŞV!,4.015
29/05/2024,#BAŞV!,12.845
29/05/2024,#BAŞV!,7.04
29/05/2024,#BAŞV!,12.845
29/05/2024,#BAŞV!,12.845
29/05/2024,#BAŞV!,1.645
29/05/2024,#BAŞV!,18.445
29/05/2024,#BAŞV!,9.99
28/05/2024,#BAŞV!,2.495
28/05/2024,#BAŞV!,64.875
28/05/2024,#BAŞV!,4.695
28/05/2024,#BAŞV!,1.995
28/05/2024,#BAŞV!,17.425
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,12
28/05/2024,#BAŞV!,1.395
28/05/2024,#BAŞV!,9.7
28/05/2024,#BAŞV!,4.695
28/05/2024,#BAŞV!,1.645
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,7.45
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,7.245
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,2.475
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,1.645
28/05/2024,#BAŞV!,9.78
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,9.7
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,7.445
28/05/2024,#BAŞV!,4.18
28/05/2024,#BAŞV!,11.745
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,1.655
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,1.745
28/05/2024,#BAŞV!,6.98
28/05/2024,#BAŞV!,7.245
28/05/2024,#BAŞV!,7.245
28/05/2024,#BAŞV!,8.15
28/05/2024,#BAŞV!,1.645
28/05/2024,#BAŞV!,55.04
28/05/2024,#BAŞV!,6.98
28/05/2024,#BAŞV!,4.695
28/05/2024,#BAŞV!,4.245
28/05/2024,#BAŞV!,9.7
